id;name;players;min_age;duration;categories;difficulty;rating;description;review;external_link;pros;cons;featured;image;rules_file;rules_sections;;;;;;;;;;;;
1;Azul Mini;2-abr;8;30;Abstracto, Familiar, Puzzles;Fácil;7.8;Versión de viaje del galardonado juego Azul. Los jugadores compiten por la mayor puntuación decorando las paredes del Palacio Real de Évora con hermosos azulejos.;Mantiene toda la esencia del juego original en un formato compacto y con componentes de plástico que aseguran las piezas. Perfecto para llevarlo a cualquier parte sin sacrificar la jugabilidad.;https://boardgamegeek.com/boardgame/230802/azul;Portátil y compacto,Componentes funcionales,Misma jugabilidad que el original;Menos impactante visualmente que la versión grande;false;/images/games/azul.jpeg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Obtener la mayor puntuación decorando un muro con patrones de azulejos.""},{""title"": ""Fase de Oferta"", ""content"": ""Los jugadores, por turnos, eligen todos los azulejos de un mismo color de una de las Fábricas o del centro de la mesa.""},{""title"": ""Fase de Muro"", ""content"": ""Los jugadores mueven los azulejos de sus líneas de patrón completas a su muro, puntuando por el azulejo colocado y por los adyacentes.""},{""title"": ""Fin del Juego"", ""content"": ""Termina cuando un jugador completa una fila horizontal. El jugador con más puntos gana.}]""";;;;;;;;;;;;
2;Pandemic;2-abr;8;45;Cooperativo, Estrategia;Medio;7.6;Los jugadores son miembros de un equipo de control de enfermedades que deben trabajar juntos para detener la propagación de cuatro plagas mortales y descubrir sus curas.;El juego cooperativo por excelencia. La tensión aumenta en cada turno y obliga a los jugadores a comunicarse y planificar juntos. Cada partida es un nuevo puzle que resolver.;https://boardgamegeek.com/boardgame/30549/pandemic;Gran experiencia cooperativa,Tensión creciente,Roles asimétricos;Puede ser difícil de ganar,Efecto líder (un jugador domina las decisiones);false;/images/games/pandemic.png;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Descubrir la cura para las cuatro enfermedades antes de que el juego termine.""},{""title"": ""Turno del Jugador"", ""content"": ""Realizas 4 acciones (moverte, tratar enfermedad, etc.), luego robas 2 cartas de jugador y finalmente infectas ciudades.""},{""title"": ""Condiciones de Derrota"", ""content"": ""Se pierde si hay demasiados brotes, si se agotan los cubos de una enfermedad o si se acaba el mazo de jugador.""},{""title"": ""Condición de Victoria"", ""content"": ""El equipo gana inmediatamente si descubre la cura para las cuatro enfermedades.}]""";;;;;;;;;;;;
3;Código Secreto;2-ago;10;15;Party, Deducción, Palabras;Fácil;7.5;Dos equipos compiten para ver quién puede hacer contacto con todos sus agentes primero. Los jefes de espías dan pistas de una palabra que pueden apuntar a múltiples palabras en el tablero.;Ingenioso y adictivo. Pone a prueba la capacidad de conectar conceptos y de pensar como tu compañero. Las partidas son rápidas y siempre dejan con ganas de más. Funciona genial a cualquier número de jugadores.;https://boardgamegeek.com/boardgame/178900/codenames;Muy rejugable,Fomenta la comunicación en equipo,Partidas rápidas y tensas;Requiere pensar de forma lateral,Una mala pista puede condenar la partida;false;/images/games/codigo-secreto.jpg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el primer equipo en identificar todas sus palabras en el tablero.""},{""title"": ""El Turno del Jefe de Espías"", ""content"": ""Da una pista de una palabra y un número para que su equipo adivine varias palabras.""},{""title"": ""El Turno de los Agentes"", ""content"": ""El equipo discute y señala las palabras que creen que se corresponden con la pista.""},{""title"": ""Fin del Juego"", ""content"": ""El primer equipo que cubra todas sus palabras gana. Si se señala al asesino, se pierde inmediatamente.}]""";;;;;;;;;;;;
4;Aventureros al Tren;2-may;8;45;Familiar, Estrategia;Fácil;7.4;Un juego de aventuras en tren a través del país. Los jugadores recolectan cartas de ciertos tipos de vagones que les permiten reclamar rutas ferroviarias que conectan ciudades.;Un juego elegante y accesible, perfecto como puerta de entrada a juegos más complejos. La mecánica de coleccionar sets de cartas para reclamar rutas es muy satisfactoria. Hay una tensión constante por coger las cartas que necesitas antes que los demás.;https://boardgamegeek.com/boardgame/9209/ticket-ride;Reglas muy sencillas,Componentes de alta calidad,Tensión por las rutas;" ""Puede ser frustrante si te bloquean, El azar en el robo de cartas es importante""";false;/images/games/aventureros-al-tren.webp;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Conseguir la mayor cantidad de puntos reclamando rutas y completando billetes de destino.""},{""title"": ""Acciones del Turno"", ""content"": ""Solo puedes hacer una de tres acciones: robar cartas de vagón, reclamar una ruta o robar nuevos billetes de destino.""},{""title"": ""Puntuación"", ""content"": ""Se ganan puntos al reclamar rutas y al final de la partida por los billetes de destino completados.""},{""title"": ""Fin del Juego"", ""content"": ""Se activa cuando a un jugador le quedan dos o menos vagones.}]""";;;;;;;;;;;;
5;7 Wonders;2-jul;10;30;Estrategia, Cartas, Draft;Medio;7.7;Dirige una de las siete grandes ciudades del mundo antiguo. Consigue recursos, desarrolla rutas comerciales y afirma tu supremacía militar para construir una maravilla arquitectónica que trascienda en el tiempo.;Un juego de draft de cartas casi perfecto. Es rápido, escala increíblemente bien de 3 a 7 jugadores y ofrece múltiples caminos hacia la victoria. La interacción es indirecta pero constante.;https://boardgamegeek.com/boardgame/68448/7-wonders;Partidas rápidas,Escala muy bien,Múltiples estrategias;Requiere varias partidas para entender la iconografía,Poca interacción directa;false;/images/games/7-wonders.jpg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Obtener la mayor cantidad de puntos de victoria al final de tres eras.""},{""title"": ""Mecánica de Draft"", ""content"": ""En cada era, los jugadores eligen una carta de su mano y pasan el resto al siguiente jugador.""},{""title"": ""Conflicto Militar"", ""content"": ""Al final de cada era, comparas tu fuerza militar con la de tus vecinos para ganar o perder puntos.""},{""title"": ""Fin del Juego"", ""content"": ""Después de la tercera era, se suman todos los puntos de victoria. El jugador con más puntos gana.}]""";;;;;;;;;;;;
6;Catan;3-jun;10;90;Estrategia, Familiar, Negociación;Medio;7.1;Los jugadores asumen el papel de colonos, cada uno intentando construir y desarrollar sus posesiones mientras comercian y adquieren recursos. Gana el primero en llegar a 10 puntos de victoria.;El clásico juego de iniciación a la estrategia. La combinación de gestión de recursos, negociación con otros jugadores y un poco de suerte con los dados lo convierte en un juego muy rejugable y siempre diferente.;https://boardgamegeek.com/boardgame/13/catan;Alta rejugabilidad,Fomenta la negociación,Reglas asequibles;Dependencia de los dados,Puede ser largo para algunos;false;/images/games/catan.jpg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el primer jugador en alcanzar 10 puntos de victoria.""},{""title"": ""Fases del Turno"", ""content"": ""1. **Producción de Recursos:** Lanza dos dados para ver qué terrenos producen. \n2. **Comercio:** Intercambia recursos con otros jugadores o con el banco. \n3. **Construcción:** Gasta recursos para construir carreteras, poblados o ciudades.""},{""title"": ""Fin del Juego"", ""content"": ""El primer jugador que alcance 10 o más puntos de victoria en su turno gana.}]""";;;;;;;;;;;;
7;Trio;3-jun;6;15;Party, Memoria;Fácil;7.2;Un juego de cartas donde los jugadores intentan encontrar tríos de cartas idénticas. Para ello, pueden revelar cartas de la mesa o pedir a los oponentes que revelen sus cartas más altas o más bajas.;Sorprendentemente adictivo y tenso. Es una mezcla de memoria, deducción y un poco de suerte que genera momentos muy emocionantes. Ideal para toda la familia.;https://boardgamegeek.com/boardgame/391523/trio;Reglas ultra sencillas,Partidas muy rápidas,Adictivo y tenso;El azar puede ser decisivo;false;/images/games/trio.jpg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el primer jugador en conseguir tres tríos de cartas.""},{""title"": ""Turno del Jugador"", ""content"": ""En tu turno, revelas cartas una a una. Puedes levantar una carta del centro o pedir a un oponente su carta más alta o más baja.""},{""title"": ""Encontrar un Trío"", ""content"": ""Si en tu turno revelas tres cartas idénticas, has encontrado un trío y lo guardas. Si revelas dos cartas diferentes, se vuelven a tapar y pierdes el turno.""},{""title"": ""Fin del Juego"", ""content"": ""El primer jugador que consigue tres tríos gana. También se puede ganar consiguiendo el trío de sietes.}]""";;;;;;;;;;;;
8;Manchas;1-abr;5;30;Familiar, Abstracto;Fácil;6.5;Un juego de rapidez visual para los más pequeños. Hay que ser el más rápido en encontrar la mancha de color que falta en las cartas de monstruos.;Un juego perfecto para introducir a los niños en los juegos de mesa. Es rápido, colorido y muy fácil de entender. Ayuda a desarrollar la percepción visual y la velocidad de reacción.;https://boardgamegeek.com/boardgame/233939/manchas;Ideal para niños pequeños,Educativo y divertido,Partidas muy cortas;Exclusivamente infantil;false;/images/games/manchas.jpg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el jugador que consiga más cartas al final de la partida.""},{""title"": ""Cómo Jugar"", ""content"": ""Se revela una carta de monstruo. Todos los jugadores a la vez buscan entre las 6 fichas de mancha de color cuál es la que NO aparece en el monstruo.""},{""title"": ""Coger la Mancha"", ""content"": ""El primer jugador que coge la ficha de mancha correcta, gana la carta de monstruo como punto.""},{""title"": ""Fin del Juego"", ""content"": ""El juego termina cuando se acaba el mazo de monstruos. Quien más cartas tenga, gana.}]""";;;;;;;;;;;;
9;High Society;3-may;10;15;Subastas, Cartas, Faroleo;Fácil;7.1;Los jugadores pujan para conseguir cartas de estatus (puntos) y evitar las cartas de desdicha (puntos negativos), pero con una trampa: al final, el jugador con menos dinero es eliminado automáticamente.;Un juego de subastas elegante y cruel. La gestión del dinero es clave, ya que no solo sirve para ganar las pujas, sino para no ser eliminado. Cada decisión es tensa y significativa.;https://boardgamegeek.com/boardgame/227/high-society;Mecánica de subasta muy inteligente,Partidas rápidas y tensas,Mucha interacción;Puede ser frustrante ser eliminado,El orden de las cartas puede desequilibrar la partida;false;/images/games/high society.webp;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Tener la mayor puntuación total sin ser el jugador con menos dinero.""},{""title"": ""Subastas"", ""content"": ""Se revela una carta y los jugadores pujan por ella usando sus cartas de dinero. El ganador se lleva la carta y pierde el dinero pujado.""},{""title"": ""La Trampa"", ""content"": ""Al final de la partida, el jugador que tenga menos dinero en su mano es eliminado, sin importar los puntos que haya conseguido.""},{""title"": ""Fin del Juego"", ""content"": ""Tras subastar todas las cartas, el jugador con menos dinero es descalificado. De los restantes, gana el que tenga más puntos.}]""";;;;;;;;;;;;
10;Splendor Duel;2;10;20;Estrategia, Abstracto, Cartas;Medio;8;Una versión para dos jugadores del aclamado Splendor, con nuevas acciones, condiciones de victoria y una mayor interacción. Los jugadores compiten por gemas y perlas en un tablero común.;Mejora al original en casi todo para la experiencia a dos. La interacción es más directa gracias al tablero y las nuevas condiciones de victoria añaden más tensión y caminos estratégicos.;https://boardgamegeek.com/boardgame/364023/splendor-duel;Más estratégico que el original,Mayor interacción,Tres formas de ganar;Solo para dos jugadores;false;/images/games/splendor-duel.jpeg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el primer jugador en cumplir una de las tres condiciones de victoria: 20 puntos de prestigio, 10 coronas o 10 puntos en un solo color.""},{""title"": ""Tablero de Gemas"", ""content"": ""Los jugadores cogen fichas de un tablero central, con reglas específicas sobre cómo cogerlas en línea recta.""},{""title"": ""Nuevas Acciones y Cartas"", ""content"": ""Hay cartas con habilidades especiales y una nueva acción para rellenar el tablero de gemas.""},{""title"": ""Fin del Juego"", ""content"": ""El juego termina inmediatamente cuando un jugador cumple una de las tres condiciones de victoria.}]""";;;;;;;;;;;;
