1;Azul Mini;2-4;8;30-45 min;Abstracto,Familiar;Fácil;4;El clásico juego de colocación de azulejos, ahora en versión mini para jugar en cualquier parte.;"Azul Mini logra mantener la elegancia y tensión estratégica del original en un formato sorprendentemente portátil. La calidad de los componentes, a pesar de su tamaño reducido, es excelente, y el tablero magnético evita molestias al jugar en movimiento. Es ideal como juego de viaje, para llevar al bar o al tren, pero también sirve como versión permanente para quienes tienen poco espacio.
Sigue siendo un juego accesible pero con decisiones tácticas que premian la planificación. Perfecto para introducir a nuevos jugadores, pero con suficiente profundidad para los habituales. Si te gusta Azul, esta versión es casi imprescindible.";https://boardgamegeek.com/boardgame/230802/azul;"Reglas simples, estrategia profunda
Escalabilidad excelente
Partidas rápidas";"Puede ser frustrante para algunos
Temática abstracta";VERDADERO;/images/games/azul.jpeg;/rules/azul mini-1752183501153.pdf;[]
2;Pandemic;2-4;13;45-60 min;Cooperativo,Estrategia;Medio;45;Trabajad juntos para salvar el mundo de cuatro enfermedades mortales.;Pandemic es el juego cooperativo por excelencia. La tensión de trabajar contra el reloj mientras las enfermedades se extienden por el mundo es palpable. Cada jugador tiene un rol único con habilidades especiales, lo que fomenta la colaboración y la planificación conjunta. El juego está perfectamente balanceado: es desafiante pero no imposible. Las decisiones son significativas y cada acción cuenta. Es una experiencia que une a los jugadores en lugar de enfrentarlos.;https://boardgamegeek.com/boardgame/30549/pandemic;"Excelente cooperativo
Tensión constante
Roles únicos y balanceados
Rejugabilidad alta";"Puede sufrir de quarterback
Temática puede ser pesada";FALSO;/images/games/pandemic.png;;"[{""icon"":""💡"",""title"":""objetivo"",""content"":""GANAR y GANAR""},{""icon"":""⚡"",""title"":""PASOS"",""content"":""primero tu y luego yo""},{""icon"":""🎲"",""title"":""PREMIO"",""content"":""money money""},{""icon"":""🚫"",""title"":""FINAL"",""content"":""stop""},{""icon"":""⏱️"",""title"":""efw"",""content"":""wefef""}]"
3;Código Secreto;2-8;14;15-30 min;Party,Cooperativo;Fácil;47;Un juego de palabras y deducción para equipos.;Codenames es brillante en su simplicidad. Con solo 25 cartas de palabras, crea infinitas posibilidades de diversión. La mecánica de dar pistas de una palabra para múltiples cartas es genial y genera momentos memorables. Funciona perfectamente con grupos grandes y es inclusivo para jugadores de todas las edades. La tensión de no tocar la carta del asesino añade emoción. Es el party game perfecto que combina estrategia con diversión social.;https://boardgamegeek.com/boardgame/178900/codenames;"Perfecto para grupos grandes
Reglas súper simples
Infinita rejugabilidad
Genera momentos memorables";"Depende del idioma
Puede ser difícil para algunos";FALSO;/images/games/codigo-secreto.jpg;;[]
4;Aventureros al tren;2-5;8;30-60 min;Familiar,Estrategia;Fácil;44;Construye rutas de tren a través de América del Norte.;Ticket to Ride es el gateway game perfecto. Las reglas son simples: colecciona cartas de tren y reclama rutas ferroviarias. Pero las decisiones son interesantes: ¿qué rutas priorizar? ¿cuándo bloquear a los oponentes? El mapa es hermoso y la tensión aumenta cuando las rutas se vuelven escasas. Es accesible para toda la familia pero mantiene suficiente estrategia para jugadores experimentados. La satisfacción de completar rutas largas es inmensa.;https://boardgamegeek.com/boardgame/9209/ticket-ride;"Gateway game ideal
Componentes hermosos
Escalabilidad excelente
Tensión creciente";"Puede ser frustrante si te bloquean
Algo de suerte en el draw";FALSO;/images/games/aventureros-al-tren.webp;;null
5;7 Wonders;2-7;10;30-45 min;Estrategia,Familiar;Medio;43;Construye una de las 7 maravillas del mundo antiguo.;7 Wonders es un juego de drafting brillante que permite hasta 7 jugadores sin aumentar significativamente el tiempo de juego. Cada civilización se siente única y las múltiples rutas hacia la victoria mantienen el juego fresco. La mecánica de drafting simultáneo es elegante y crea decisiones interesantes sobre qué cartas tomar y cuáles negar a los oponentes. Los iconos pueden ser intimidantes al principio, pero una vez aprendidos, el juego fluye perfectamente.;https://boardgamegeek.com/boardgame/68448/7-wonders;"Soporta hasta 7 jugadores
Tiempo de juego constante
Múltiples estrategias viables
Civilizaciones asimétricas";"Iconografía compleja inicialmente
Poca interacción directa";FALSO;/images/games/7-wonders.jpg;;null
6;Catan;3-4;10;60-90 min;Estrategia,Familiar;Medio;42;Coloniza la isla de Catan construyendo ciudades y comerciando recursos.;Catan es el juego que introdujo a millones de personas al mundo de los juegos modernos. La mecánica de comercio e intercambio crea interacción constante entre jugadores, mientras que los dados añaden tensión y variabilidad. La construcción de carreteras y ciudades es satisfactoria, y cada partida se desarrolla de manera diferente según la disposición del tablero. Aunque puede sufrir de suerte en los dados, las decisiones estratégicas y la negociación son fundamentales para la victoria.;https://boardgamegeek.com/boardgame/13/catan;"Gateway game clásico
Mucha interacción entre jugadores
Rejugabilidad alta
Mecánicas accesibles";"Dependiente de la suerte
Puede alargarse demasiado
El líder puede ser atacado";FALSO;/images/games/catan.jpg;;null
7;Trio;3-6;8;15-20 min;Party,Familiar;Fácil;41;Encuentra tríos de cartas con números consecutivos en este rápido juego de cartas.;Trio es un juego de cartas simple pero adictivo donde los jugadores buscan formar tríos de números consecutivos. Las reglas son fáciles de aprender pero las decisiones son constantes: ¿revelar información o mantener el secreto? La tensión aumenta cuando varios jugadores buscan el mismo trío. Es perfecto como filler entre juegos más largos y funciona excelente con familias. La duración corta invita a jugar múltiples rondas seguidas.;https://boardgamegeek.com/boardgame/359970/trio;"Reglas muy simples
Partidas rápidas
Buena tensión
Perfecto como filler";"Puede ser repetitivo
Poca profundidad estratégica";FALSO;/images/games/trio.jpg;;null
8;Manchas;2-4;8;20-30 min;Abstracto,Familiar;Fácil;39;Coloca fichas de colores para crear patrones y conseguir puntos.;Manchas es un juego abstracto de colocación de fichas donde los jugadores compiten por crear los mejores patrones de colores. La mecánica es simple pero las decisiones son interesantes, especialmente cuando se trata de bloquear a los oponentes. Los componentes son coloridos y atractivos, lo que lo hace especialmente atractivo para familias con niños. Aunque no tiene la profundidad de otros abstractos, ofrece suficiente estrategia para mantener el interés de jugadores más experimentados.;https://boardgamegeek.com/boardgame/123456/manchas;"Componentes coloridos
Fácil de aprender
Bueno para familias
Partidas rápidas";"Poca profundidad
Puede volverse predecible";FALSO;/images/games/manchas.jpg;;null
9;High Society;3-5;10;15-30 min;Subasta,Estrategia;Medio;43;Subasta objetos de lujo, pero cuidado de no quedarte sin dinero.;High Society es un brillante juego de subastas de Reiner Knizia donde la gestión del dinero es crucial. Los jugadores pujan por objetos de lujo y cartas de desgracia, pero al final quien tenga menos dinero queda eliminado automáticamente. Esta mecánica crea tensión constante: ¿vale la pena pujar alto por esa carta valiosa? El juego es rápido, tenso y lleno de decisiones difíciles. Cada subasta importa y el timing es fundamental para la victoria.;https://boardgamegeek.com/boardgame/220/high-society;"Mecánica de subasta brillante
Tensión constante
Partidas rápidas
Decisiones difíciles";"Puede ser frustrante
Eliminación de jugadores
Depende del grupo";FALSO;/images/games/high society.webp;;null
10;Splendor Duel;2;10;20-30 min;Estrategia,Cartas;Medio;44;Versión para dos jugadores del clásico Splendor con nuevas mecánicas.;Splendor Duel toma la fórmula exitosa del Splendor original y la adapta perfectamente para dos jugadores. Añade nuevas mecánicas como las cartas de privilegio y múltiples condiciones de victoria que mantienen el juego fresco y emocionante. La tensión es constante ya que ambos jugadores compiten por los mismos recursos y cartas. Los componentes mantienen la calidad del original y las partidas son lo suficientemente rápidas para jugar varias seguidas. Es una evolución natural que mejora la experiencia para dos.;https://boardgamegeek.com/boardgame/364073/splendor-duel;"Perfectamente adaptado para 2
Nuevas mecánicas interesantes
Componentes de calidad
Múltiples rutas a la victoria";"Solo para 2 jugadores
Puede ser intenso para algunos";FALSO;/images/games/splendor-duel.jpeg;;null
